AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
18	0.4	-1.0	-1.0	0	150	6044	0.7501551445947623	2405.0	0.39791528788881536	3320	0.4120640436887179	1563.0	0.4707831325301205	2591	0.32158371602333374	1309.0	0.5052103434967194	3802	0.4718877994290679	1582.0	0.41609679116254605	6050	0.7508998386496214	2410.0	0.39834710743801655
19	0.6	0.0	0.0	0	150	5706	0.7082040461710314	2277.0	0.3990536277602524	6407	0.7952091349137396	2765.0	0.43155923208990166	5854	0.72657316619089	2967.0	0.5068329347454732	6696	0.8310785652227877	2707.0	0.40427120669056155	6718	0.8338091100906044	2714.0	0.4039892825245609
20	0.6	-0.2	-0.2	0	150	5706	0.7082040461710314	2277.0	0.3990536277602524	6029	0.7482934094576145	2548.0	0.42262398407696133	5363	0.6656323693682512	2617.0	0.48797314935670333	6356	0.788879235447437	2506.0	0.394273127753304	6389	0.7929750527491622	2520.0	0.3944279229926436
21	0.6	-0.4	-0.4	0	150	5706	0.7082040461710314	2277.0	0.3990536277602524	5684	0.7054735013032146	2425.0	0.42663617171006335	4982	0.6183442968846965	2394.0	0.4805299076676034	6033	0.7487898721608539	2416.0	0.4004641140394497	6074	0.7538786148690579	2433.0	0.4005597629239381
22	0.6	-0.6	-0.6	0	150	5706	0.7082040461710314	2277.0	0.3990536277602524	5238	0.6501179098920193	2277.0	0.43470790378006874	4500	0.5585205411443466	2186.0	0.48577777777777775	5687	0.7058458483306441	2269.0	0.3989801301213293	5737	0.7120516321211369	2302.0	0.4012550113299634
23	0.6	-0.8	-0.8	0	150	5706	0.7082040461710314	2277.0	0.3990536277602524	4698	0.5830954449546978	2051.0	0.43656875266070666	3938	0.48876753133920814	1898.0	0.4819705434230574	5156	0.6399404244756113	2094.0	0.4061287820015516	5724	0.7104381283356088	2293.0	0.4005939902166317
24	0.6	-1.0	-1.0	0	150	5706	0.7082040461710314	2277.0	0.3990536277602524	3320	0.4120640436887179	1563.0	0.4707831325301205	2591	0.32158371602333374	1309.0	0.5052103434967194	3802	0.4718877994290679	1582.0	0.41609679116254605	5716	0.7094452029291299	2284.0	0.3995801259622113
25	0.8	0.0	0.0	0	150	5173	0.6420503909643788	2102.0	0.40634061473033056	6407	0.7952091349137396	2765.0	0.43155923208990166	5854	0.72657316619089	2967.0	0.5068329347454732	6696	0.8310785652227877	2707.0	0.40427120669056155	6712	0.8330644160357453	2713.0	0.40420143027413585
26	0.8	-0.2	-0.2	0	150	5173	0.6420503909643788	2102.0	0.40634061473033056	6029	0.7482934094576145	2548.0	0.42262398407696133	5363	0.6656323693682512	2617.0	0.48797314935670333	6356	0.788879235447437	2506.0	0.394273127753304	6379	0.7917338959910637	2515.0	0.39426242357736324
27	0.8	-0.4	-0.4	0	150	5173	0.6420503909643788	2102.0	0.40634061473033056	5684	0.7054735013032146	2425.0	0.42663617171006335	4982	0.6183442968846965	2394.0	0.4805299076676034	6033	0.7487898721608539	2416.0	0.4004641140394497	6064	0.7526374581109594	2432.0	0.40105540897097625
28	0.8	-0.6	-0.6	0	150	5173	0.6420503909643788	2102.0	0.40634061473033056	5238	0.6501179098920193	2277.0	0.43470790378006874	4500	0.5585205411443466	2186.0	0.48577777777777775	5687	0.7058458483306441	2269.0	0.3989801301213293	5724	0.7104381283356088	2295.0	0.4009433962264151
29	0.8	-0.8	-0.8	0	150	5173	0.6420503909643788	2102.0	0.40634061473033056	4698	0.5830954449546978	2051.0	0.43656875266070666	3938	0.48876753133920814	1898.0	0.4819705434230574	5156	0.6399404244756113	2094.0	0.4061287820015516	5200	0.6454015142112449	2122.0	0.40807692307692306
30	0.8	-1.0	-1.0	0	150	5173	0.6420503909643788	2102.0	0.40634061473033056	3320	0.4120640436887179	1563.0	0.4707831325301205	2591	0.32158371602333374	1309.0	0.5052103434967194	3802	0.4718877994290679	1582.0	0.41609679116254605	5190	0.6441603574531464	2113.0	0.4071290944123314
31	1.0	0.0	0.0	0	150	3797	0.4712672210500186	1601.0	0.4216486700026337	6407	0.7952091349137396	2765.0	0.43155923208990166	5854	0.72657316619089	2967.0	0.5068329347454732	6696	0.8310785652227877	2707.0	0.40427120669056155	6700	0.8315750279260271	2703.0	0.4034328358208955
32	1.0	-0.2	-0.2	0	150	3797	0.4712672210500186	1601.0	0.4216486700026337	6029	0.7482934094576145	2548.0	0.42262398407696133	5363	0.6656323693682512	2617.0	0.48797314935670333	6356	0.788879235447437	2506.0	0.394273127753304	6364	0.7898721608539159	2502.0	0.3931489629164048
33	1.0	-0.4	-0.4	0	150	3797	0.4712672210500186	1601.0	0.4216486700026337	5684	0.7054735013032146	2425.0	0.42663617171006335	4982	0.6183442968846965	2394.0	0.4805299076676034	6033	0.7487898721608539	2416.0	0.4004641140394497	6049	0.7507757229738116	2417.0	0.39957017688874197
34	1.0	-0.6	-0.6	0	150	3797	0.4712672210500186	1601.0	0.4216486700026337	5238	0.6501179098920193	2277.0	0.43470790378006874	4500	0.5585205411443466	2186.0	0.48577777777777775	5687	0.7058458483306441	2269.0	0.3989801301213293	5707	0.7083281618468412	2276.0	0.3988084808130366
35	1.0	-0.8	-0.8	0	150	3797	0.4712672210500186	1601.0	0.4216486700026337	4698	0.5830954449546978	2051.0	0.43656875266070666	3938	0.48876753133920814	1898.0	0.4819705434230574	5156	0.6399404244756113	2094.0	0.4061287820015516	5179	0.6427950850192379	2110.0	0.4074145587951342
36	1.0	-1.0	-1.0	0	150	3797	0.4712672210500186	1601.0	0.4216486700026337	3320	0.4120640436887179	1563.0	0.4707831325301205	2591	0.32158371602333374	1309.0	0.5052103434967194	3802	0.4718877994290679	1582.0	0.41609679116254605	3902	0.4842993670100534	1648.0	0.4223475140953357
