AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
11	0.2	-0.8	-0.8	0	150	5181	0.8577814569536424	1989.0	0.38390272148233934	1606	0.26589403973509934	767.0	0.4775840597758406	1910	0.3162251655629139	1210.0	0.6335078534031413	1914	0.316887417218543	889.0	0.4644723092998955	5181	0.8577814569536424	1990.0	0.38409573441420575
12	0.2	-1.0	-1.0	0	150	5181	0.8577814569536424	1989.0	0.38390272148233934	542	0.08973509933774834	291.0	0.5369003690036901	527	0.08725165562913907	352.0	0.6679316888045541	699	0.11572847682119206	361.0	0.5164520743919886	5181	0.8577814569536424	1988.0	0.38370970855047287
13	0.4	0.0	0.0	0	150	3832	0.6344370860927152	1424.0	0.37160751565762007	6030	0.9983443708609272	3417.0	0.5666666666666667	6028	0.9980132450331126	4180.0	0.6934306569343066	6035	0.9991721854304636	2475.0	0.4101077050538525	6035	0.9991721854304636	2468.0	0.4089478044739022
14	0.4	-0.2	-0.2	0	150	3832	0.6344370860927152	1424.0	0.37160751565762007	4533	0.7504966887417218	1941.0	0.42819324950363996	4762	0.7884105960264901	2968.0	0.6232675346493071	5169	0.855794701986755	1979.0	0.3828593538402012	5169	0.855794701986755	1975.0	0.3820855097697814
15	0.4	-0.4	-0.4	0	150	3832	0.6344370860927152	1424.0	0.37160751565762007	3183	0.5269867549668874	1320.0	0.41470311027332707	3629	0.6008278145695364	2223.0	0.612565445026178	3824	0.633112582781457	1450.0	0.37918410041841005	3864	0.6397350993377483	1430.0	0.37008281573498963
16	0.4	-0.6	-0.6	0	150	3832	0.6344370860927152	1424.0	0.37160751565762007	2284	0.3781456953642384	1016.0	0.4448336252189142	2711	0.44884105960264903	1680.0	0.6196975285872371	2701	0.4471854304635762	1142.0	0.42280636801184746	3837	0.6352649006622516	1424.0	0.3711232733906698
17	0.4	-0.8	-0.8	0	150	3832	0.6344370860927152	1424.0	0.37160751565762007	1606	0.26589403973509934	767.0	0.4775840597758406	1910	0.3162251655629139	1210.0	0.6335078534031413	1914	0.316887417218543	889.0	0.4644723092998955	3836	0.6350993377483444	1426.0	0.37174139728884253
18	0.4	-1.0	-1.0	0	150	3832	0.6344370860927152	1424.0	0.37160751565762007	542	0.08973509933774834	291.0	0.5369003690036901	527	0.08725165562913907	352.0	0.6679316888045541	699	0.11572847682119206	361.0	0.5164520743919886	3833	0.6346026490066226	1423.0	0.3712496738846856
19	0.6	0.0	0.0	0	150	2723	0.4508278145695364	1135.0	0.41681968417186926	6030	0.9983443708609272	3417.0	0.5666666666666667	6028	0.9980132450331126	4180.0	0.6934306569343066	6035	0.9991721854304636	2475.0	0.4101077050538525	6035	0.9991721854304636	2471.0	0.4094449047224524
20	0.6	-0.2	-0.2	0	150	2723	0.4508278145695364	1135.0	0.41681968417186926	4533	0.7504966887417218	1941.0	0.42819324950363996	4762	0.7884105960264901	2968.0	0.6232675346493071	5169	0.855794701986755	1979.0	0.3828593538402012	5169	0.855794701986755	1978.0	0.3826658928225962
21	0.6	-0.4	-0.4	0	150	2723	0.4508278145695364	1135.0	0.41681968417186926	3183	0.5269867549668874	1320.0	0.41470311027332707	3629	0.6008278145695364	2223.0	0.612565445026178	3824	0.633112582781457	1450.0	0.37918410041841005	3824	0.633112582781457	1443.0	0.3773535564853556
22	0.6	-0.6	-0.6	0	150	2723	0.4508278145695364	1135.0	0.41681968417186926	2284	0.3781456953642384	1016.0	0.4448336252189142	2711	0.44884105960264903	1680.0	0.6196975285872371	2701	0.4471854304635762	1142.0	0.42280636801184746	2746	0.454635761589404	1155.0	0.420611798980335
23	0.6	-0.8	-0.8	0	150	2723	0.4508278145695364	1135.0	0.41681968417186926	1606	0.26589403973509934	767.0	0.4775840597758406	1910	0.3162251655629139	1210.0	0.6335078534031413	1914	0.316887417218543	889.0	0.4644723092998955	2729	0.45182119205298016	1142.0	0.4184683034078417
24	0.6	-1.0	-1.0	0	150	2723	0.4508278145695364	1135.0	0.41681968417186926	542	0.08973509933774834	291.0	0.5369003690036901	527	0.08725165562913907	352.0	0.6679316888045541	699	0.11572847682119206	361.0	0.5164520743919886	2724	0.4509933774834437	1136.0	0.4170337738619677
25	0.8	0.0	0.0	0	150	1921	0.31804635761589406	879.0	0.45757418011452367	6030	0.9983443708609272	3417.0	0.5666666666666667	6028	0.9980132450331126	4180.0	0.6934306569343066	6035	0.9991721854304636	2475.0	0.4101077050538525	6035	0.9991721854304636	2472.0	0.4096106048053024
26	0.8	-0.2	-0.2	0	150	1921	0.31804635761589406	879.0	0.45757418011452367	4533	0.7504966887417218	1941.0	0.42819324950363996	4762	0.7884105960264901	2968.0	0.6232675346493071	5169	0.855794701986755	1979.0	0.3828593538402012	5169	0.855794701986755	1976.0	0.3822789707873863
27	0.8	-0.4	-0.4	0	150	1921	0.31804635761589406	879.0	0.45757418011452367	3183	0.5269867549668874	1320.0	0.41470311027332707	3629	0.6008278145695364	2223.0	0.612565445026178	3824	0.633112582781457	1450.0	0.37918410041841005	3824	0.633112582781457	1446.0	0.37813807531380755
28	0.8	-0.6	-0.6	0	150	1921	0.31804635761589406	879.0	0.45757418011452367	2284	0.3781456953642384	1016.0	0.4448336252189142	2711	0.44884105960264903	1680.0	0.6196975285872371	2701	0.4471854304635762	1142.0	0.42280636801184746	2702	0.44735099337748346	1140.0	0.4219096965210955
29	0.8	-0.8	-0.8	0	150	1921	0.31804635761589406	879.0	0.45757418011452367	1606	0.26589403973509934	767.0	0.4775840597758406	1910	0.3162251655629139	1210.0	0.6335078534031413	1914	0.316887417218543	889.0	0.4644723092998955	1934	0.32019867549668873	886.0	0.4581178903826267
30	0.8	-1.0	-1.0	0	150	1921	0.31804635761589406	879.0	0.45757418011452367	542	0.08973509933774834	291.0	0.5369003690036901	527	0.08725165562913907	352.0	0.6679316888045541	699	0.11572847682119206	361.0	0.5164520743919886	1924	0.3185430463576159	879.0	0.45686070686070684
31	1.0	0.0	0.0	0	150	689	0.1140728476821192	362.0	0.525399129172714	6030	0.9983443708609272	3417.0	0.5666666666666667	6028	0.9980132450331126	4180.0	0.6934306569343066	6035	0.9991721854304636	2475.0	0.4101077050538525	6035	0.9991721854304636	2474.0	0.40994200497100247
32	1.0	-0.2	-0.2	0	150	689	0.1140728476821192	362.0	0.525399129172714	4533	0.7504966887417218	1941.0	0.42819324950363996	4762	0.7884105960264901	2968.0	0.6232675346493071	5169	0.855794701986755	1979.0	0.3828593538402012	5169	0.855794701986755	1978.0	0.3826658928225962
33	1.0	-0.4	-0.4	0	150	689	0.1140728476821192	362.0	0.525399129172714	3183	0.5269867549668874	1320.0	0.41470311027332707	3629	0.6008278145695364	2223.0	0.612565445026178	3824	0.633112582781457	1450.0	0.37918410041841005	3824	0.633112582781457	1449.0	0.37892259414225943
34	1.0	-0.6	-0.6	0	150	689	0.1140728476821192	362.0	0.525399129172714	2284	0.3781456953642384	1016.0	0.4448336252189142	2711	0.44884105960264903	1680.0	0.6196975285872371	2701	0.4471854304635762	1142.0	0.42280636801184746	2701	0.4471854304635762	1141.0	0.4224361347649019
35	1.0	-0.8	-0.8	0	150	689	0.1140728476821192	362.0	0.525399129172714	1606	0.26589403973509934	767.0	0.4775840597758406	1910	0.3162251655629139	1210.0	0.6335078534031413	1914	0.316887417218543	889.0	0.4644723092998955	1916	0.3172185430463576	888.0	0.46346555323590816
36	1.0	-1.0	-1.0	0	150	689	0.1140728476821192	362.0	0.525399129172714	542	0.08973509933774834	291.0	0.5369003690036901	527	0.08725165562913907	352.0	0.6679316888045541	699	0.11572847682119206	361.0	0.5164520743919886	731	0.12102649006622516	380.0	0.5198358413132695
