AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
23	0.6	-0.8	-0.8	0	150	200	0.21208907741251326	113.0	0.565	83	0.088016967126193	50.0	0.6024096385542169	121	0.1283138918345705	94.0	0.7768595041322314	108	0.11452810180275716	68.0	0.6296296296296297	200	0.21208907741251326	113.0	0.565
24	0.6	-1.0	-1.0	0	150	200	0.21208907741251326	113.0	0.565	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	30	0.031813361611876985	15.0	0.5	200	0.21208907741251326	113.0	0.565
25	0.8	0.0	0.0	0	150	109	0.11558854718981973	67.0	0.6146788990825688	933	0.9893955461293743	619.0	0.6634512325830654	933	0.9893955461293743	711.0	0.7620578778135049	941	0.9978791092258749	475.0	0.5047821466524973	941	0.9978791092258749	475.0	0.5047821466524973
26	0.8	-0.2	-0.2	0	150	109	0.11558854718981973	67.0	0.6146788990825688	556	0.5896076352067868	294.0	0.5287769784172662	613	0.6500530222693531	410.0	0.6688417618270799	696	0.7380699893955461	343.0	0.492816091954023	697	0.7391304347826086	344.0	0.4935437589670014
27	0.8	-0.4	-0.4	0	150	109	0.11558854718981973	67.0	0.6146788990825688	290	0.3075291622481442	161.0	0.5551724137931034	379	0.4019088016967126	246.0	0.6490765171503958	370	0.39236479321314954	189.0	0.5108108108108108	371	0.3934252386002121	190.0	0.5121293800539084
28	0.8	-0.6	-0.6	0	150	109	0.11558854718981973	67.0	0.6146788990825688	166	0.176033934252386	86.0	0.5180722891566265	215	0.22799575821845175	144.0	0.6697674418604651	201	0.21314952279957583	114.0	0.5671641791044776	202	0.2142099681866384	115.0	0.5693069306930693
29	0.8	-0.8	-0.8	0	150	109	0.11558854718981973	67.0	0.6146788990825688	83	0.088016967126193	50.0	0.6024096385542169	121	0.1283138918345705	94.0	0.7768595041322314	108	0.11452810180275716	68.0	0.6296296296296297	110	0.11664899257688228	69.0	0.6272727272727273
30	0.8	-1.0	-1.0	0	150	109	0.11558854718981973	67.0	0.6146788990825688	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	30	0.031813361611876985	15.0	0.5	109	0.11558854718981973	67.0	0.6146788990825688
31	1.0	0.0	0.0	0	150	32	0.033934252386002124	17.0	0.53125	933	0.9893955461293743	619.0	0.6634512325830654	933	0.9893955461293743	711.0	0.7620578778135049	941	0.9978791092258749	475.0	0.5047821466524973	941	0.9978791092258749	475.0	0.5047821466524973
32	1.0	-0.2	-0.2	0	150	32	0.033934252386002124	17.0	0.53125	556	0.5896076352067868	294.0	0.5287769784172662	613	0.6500530222693531	410.0	0.6688417618270799	696	0.7380699893955461	343.0	0.492816091954023	697	0.7391304347826086	344.0	0.4935437589670014
33	1.0	-0.4	-0.4	0	150	32	0.033934252386002124	17.0	0.53125	290	0.3075291622481442	161.0	0.5551724137931034	379	0.4019088016967126	246.0	0.6490765171503958	370	0.39236479321314954	189.0	0.5108108108108108	371	0.3934252386002121	190.0	0.5121293800539084
34	1.0	-0.6	-0.6	0	150	32	0.033934252386002124	17.0	0.53125	166	0.176033934252386	86.0	0.5180722891566265	215	0.22799575821845175	144.0	0.6697674418604651	201	0.21314952279957583	114.0	0.5671641791044776	202	0.2142099681866384	115.0	0.5693069306930693
35	1.0	-0.8	-0.8	0	150	32	0.033934252386002124	17.0	0.53125	83	0.088016967126193	50.0	0.6024096385542169	121	0.1283138918345705	94.0	0.7768595041322314	108	0.11452810180275716	68.0	0.6296296296296297	109	0.11558854718981973	69.0	0.6330275229357798
36	1.0	-1.0	-1.0	0	150	32	0.033934252386002124	17.0	0.53125	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	30	0.031813361611876985	15.0	0.5	33	0.03499469777306469	17.0	0.5151515151515151
